dashboard=http://127.0.0.1:8766
GBPUSD side=hold confidence=0.73 reason=AI provisional sell: no strict validation-qualified models; probability 0.73 vs 0.23, gap 0.50, validation accuracy 23.8%, precision 15.9%, models 6, rows 214; RSI 56.5, ADX 23.2, ATR 3.9 pips, return_3 -0.013%, volatility ratio 0.96; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.06 reason=AI ensemble buy: probability 0.06 vs 0.00, gap 0.06, validation accuracy 60.4%, precision 100.0%, models 1, rows 211; RSI 63.6, ADX 13.3, ATR 1.9 pips, return_3 0.006%, volatility ratio 0.72; probability below 0.68
USDCHF side=hold confidence=0.06 reason=AI ensemble sell: probability 0.06 vs 0.00, gap 0.06, validation accuracy 62.9%, precision 100.0%, models 2, rows 214; RSI 40.4, ADX 20.8, ATR 2.3 pips, return_3 -0.026%, volatility ratio 0.91; probability below 0.68
AUDUSD side=hold confidence=0.15 reason=AI ensemble buy: probability 0.15 vs 0.00, gap 0.15, validation accuracy 64.8%, precision 100.0%, models 1, rows 214; RSI 56.6, ADX 27.9, ATR 2.5 pips, return_3 0.021%, volatility ratio 0.84; probability below 0.68
USDCAD side=hold confidence=0.08 reason=AI ensemble sell: probability 0.08 vs 0.00, gap 0.08, validation accuracy 71.9%, precision 80.9%, models 2, rows 211; RSI 49.8, ADX 41.3, ATR 2.7 pips, return_3 0.029%, volatility ratio 0.80; probability below 0.68
EURUSD side=hold confidence=0.93 reason=AI provisional sell: no strict validation-qualified models; probability 0.93 vs 0.04, gap 0.89, validation accuracy 14.8%, precision 11.4%, models 6, rows 214; RSI 66.8, ADX 37.5, ATR 2.8 pips, return_3 0.019%, volatility ratio 0.95; provisional validation accuracy below 0.45
GBPUSD side=hold confidence=0.78 reason=AI provisional sell: no strict validation-qualified models; probability 0.78 vs 0.13, gap 0.65, validation accuracy 23.3%, precision 14.2%, models 6, rows 214; RSI 63.0, ADX 23.2, ATR 3.9 pips, return_3 0.014%, volatility ratio 1.07; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.11 reason=AI ensemble buy: probability 0.11 vs 0.00, gap 0.11, validation accuracy 62.3%, precision 100.0%, models 1, rows 211; RSI 57.9, ADX 13.3, ATR 1.9 pips, return_3 0.001%, volatility ratio 0.77; probability below 0.68
USDCHF side=hold confidence=0.09 reason=AI ensemble sell: probability 0.09 vs 0.00, gap 0.09, validation accuracy 70.4%, precision 100.0%, models 1, rows 214; RSI 38.4, ADX 21.0, ATR 2.4 pips, return_3 -0.036%, volatility ratio 0.99; probability below 0.68
AUDUSD side=hold confidence=0.18 reason=AI ensemble buy: probability 0.18 vs 0.00, gap 0.18, validation accuracy 64.8%, precision 100.0%, models 1, rows 214; RSI 59.3, ADX 27.9, ATR 2.5 pips, return_3 0.035%, volatility ratio 0.87; probability below 0.68
